[04/06 06:51:25]: Namespace(base_channels=16, batch_size=128, block_type='basic', depths=38, epochs=400, input_shape=[1, 3, 32, 32], learning_rate=0.1, lr_decay=0.1, milestones='[120, 240]', momentum=0.9, n_classes=10, num_workers=6, result_path='./result/depths_38+CFD+Adam', seed=17, weight_decay=0.0001)
[04/06 06:56:09]: Epoch Test: 32, Current test accuracy: 0.7866, Best test accuracy in 28: 0.7973
[04/06 06:56:18]: epoch: 33, train_loss: 0.809800, train_accuracy: 0.8311
[04/06 06:56:18]: Epoch Test: 33, Current test accuracy: 0.8147, Best test accuracy in 33: 0.8147
[04/06 06:56:26]: epoch: 34, train_loss: 0.803136, train_accuracy: 0.8322
[04/06 06:56:27]: Epoch Test: 34, Current test accuracy: 0.7807, Best test accuracy in 33: 0.8147
[04/06 06:56:35]: epoch: 35, train_loss: 0.777278, train_accuracy: 0.8397
[04/06 06:56:36]: Epoch Test: 35, Current test accuracy: 0.7950, Best test accuracy in 33: 0.8147
[04/06 06:56:44]: epoch: 36, train_loss: 0.777667, train_accuracy: 0.8377
[04/06 06:56:45]: Epoch Test: 36, Current test accuracy: 0.8066, Best test accuracy in 33: 0.8147
[04/06 06:56:53]: epoch: 37, train_loss: 0.771638, train_accuracy: 0.8396
[04/06 06:56:54]: Epoch Test: 37, Current test accuracy: 0.7978, Best test accuracy in 33: 0.8147
[04/06 06:57:02]: epoch: 38, train_loss: 0.769499, train_accuracy: 0.8412
[04/06 06:57:02]: Epoch Test: 38, Current test accuracy: 0.8058, Best test accuracy in 33: 0.8147
[04/06 06:57:10]: epoch: 39, train_loss: 0.754130, train_accuracy: 0.8437
[04/06 06:57:11]: Epoch Test: 39, Current test accuracy: 0.8210, Best test accuracy in 39: 0.8210
[04/06 06:57:19]: epoch: 40, train_loss: 0.752765, train_accuracy: 0.8426
[04/06 06:57:20]: Epoch Test: 40, Current test accuracy: 0.8181, Best test accuracy in 39: 0.8210
[04/06 06:57:28]: epoch: 41, train_loss: 0.740300, train_accuracy: 0.8472
[04/06 06:57:29]: Epoch Test: 41, Current test accuracy: 0.8112, Best test accuracy in 39: 0.8210
[04/06 06:57:37]: epoch: 42, train_loss: 0.729219, train_accuracy: 0.8475
[04/06 06:57:37]: Epoch Test: 42, Current test accuracy: 0.7959, Best test accuracy in 39: 0.8210
[04/06 06:57:45]: epoch: 43, train_loss: 0.723013, train_accuracy: 0.8498
[04/06 06:57:46]: Epoch Test: 43, Current test accuracy: 0.8150, Best test accuracy in 39: 0.8210
[04/06 06:57:54]: epoch: 44, train_loss: 0.722339, train_accuracy: 0.8499
[04/06 06:57:55]: Epoch Test: 44, Current test accuracy: 0.8088, Best test accuracy in 39: 0.8210
[04/06 06:58:03]: epoch: 45, train_loss: 0.713088, train_accuracy: 0.8524
[04/06 06:58:04]: Epoch Test: 45, Current test accuracy: 0.8241, Best test accuracy in 45: 0.8241
[04/06 06:58:12]: epoch: 46, train_loss: 0.700936, train_accuracy: 0.8543
[04/06 06:58:13]: Epoch Test: 46, Current test accuracy: 0.8199, Best test accuracy in 45: 0.8241
[04/06 06:58:21]: epoch: 47, train_loss: 0.691415, train_accuracy: 0.8576
[04/06 06:58:21]: Epoch Test: 47, Current test accuracy: 0.8292, Best test accuracy in 47: 0.8292
[04/06 06:58:29]: epoch: 48, train_loss: 0.692720, train_accuracy: 0.8561
[04/06 06:58:30]: Epoch Test: 48, Current test accuracy: 0.8208, Best test accuracy in 47: 0.8292
[04/06 06:58:38]: epoch: 49, train_loss: 0.679743, train_accuracy: 0.8599
[04/06 06:58:39]: Epoch Test: 49, Current test accuracy: 0.8273, Best test accuracy in 47: 0.8292
[04/06 06:58:47]: epoch: 50, train_loss: 0.676166, train_accuracy: 0.8605
[04/06 06:58:48]: Epoch Test: 50, Current test accuracy: 0.8363, Best test accuracy in 50: 0.8363
[04/06 06:58:56]: epoch: 51, train_loss: 0.671802, train_accuracy: 0.8610
[04/06 06:58:57]: Epoch Test: 51, Current test accuracy: 0.8237, Best test accuracy in 50: 0.8363
[04/06 06:59:05]: epoch: 52, train_loss: 0.661318, train_accuracy: 0.8636
[04/06 06:59:06]: Epoch Test: 52, Current test accuracy: 0.8353, Best test accuracy in 50: 0.8363
[04/06 06:59:14]: epoch: 53, train_loss: 0.664392, train_accuracy: 0.8631
[04/06 06:59:14]: Epoch Test: 53, Current test accuracy: 0.8273, Best test accuracy in 50: 0.8363
[04/06 06:59:23]: epoch: 54, train_loss: 0.654968, train_accuracy: 0.8632
[04/06 06:59:23]: Epoch Test: 54, Current test accuracy: 0.8361, Best test accuracy in 50: 0.8363
[04/06 06:59:31]: epoch: 55, train_loss: 0.644864, train_accuracy: 0.8664
[04/06 06:59:32]: Epoch Test: 55, Current test accuracy: 0.8337, Best test accuracy in 50: 0.8363
[04/06 06:59:40]: epoch: 56, train_loss: 0.637451, train_accuracy: 0.8687
[04/06 06:59:41]: Epoch Test: 56, Current test accuracy: 0.8307, Best test accuracy in 50: 0.8363
[04/06 06:59:49]: epoch: 57, train_loss: 0.645197, train_accuracy: 0.8660
[04/06 06:59:50]: Epoch Test: 57, Current test accuracy: 0.8206, Best test accuracy in 50: 0.8363
[04/06 06:59:58]: epoch: 58, train_loss: 0.634176, train_accuracy: 0.8679
[04/06 06:59:59]: Epoch Test: 58, Current test accuracy: 0.8046, Best test accuracy in 50: 0.8363
[04/06 07:00:07]: epoch: 59, train_loss: 0.639917, train_accuracy: 0.8679
[04/06 07:00:08]: Epoch Test: 59, Current test accuracy: 0.8238, Best test accuracy in 50: 0.8363
[04/06 07:00:16]: epoch: 60, train_loss: 0.623708, train_accuracy: 0.8705
[04/06 07:00:16]: Epoch Test: 60, Current test accuracy: 0.8310, Best test accuracy in 50: 0.8363
[04/06 07:00:25]: epoch: 61, train_loss: 0.618537, train_accuracy: 0.8727
[04/06 07:00:25]: Epoch Test: 61, Current test accuracy: 0.8402, Best test accuracy in 61: 0.8402
[04/06 07:00:34]: epoch: 62, train_loss: 0.614007, train_accuracy: 0.8726
[04/06 07:00:34]: Epoch Test: 62, Current test accuracy: 0.8319, Best test accuracy in 61: 0.8402
[04/06 07:00:43]: epoch: 63, train_loss: 0.618460, train_accuracy: 0.8724
[04/06 07:00:43]: Epoch Test: 63, Current test accuracy: 0.8226, Best test accuracy in 61: 0.8402
[04/06 07:00:52]: epoch: 64, train_loss: 0.605604, train_accuracy: 0.8732
[04/06 07:00:52]: Epoch Test: 64, Current test accuracy: 0.8388, Best test accuracy in 61: 0.8402
[04/06 07:01:00]: epoch: 65, train_loss: 0.599272, train_accuracy: 0.8756
[04/06 07:01:01]: Epoch Test: 65, Current test accuracy: 0.8317, Best test accuracy in 61: 0.8402
[04/06 07:01:09]: epoch: 66, train_loss: 0.599855, train_accuracy: 0.8745
[04/06 07:01:10]: Epoch Test: 66, Current test accuracy: 0.8331, Best test accuracy in 61: 0.8402
[04/06 07:01:18]: epoch: 67, train_loss: 0.599032, train_accuracy: 0.8750
[04/06 07:01:19]: Epoch Test: 67, Current test accuracy: 0.8263, Best test accuracy in 61: 0.8402
[04/06 07:01:27]: epoch: 68, train_loss: 0.591316, train_accuracy: 0.8765
[04/06 07:01:28]: Epoch Test: 68, Current test accuracy: 0.8410, Best test accuracy in 68: 0.8410
[04/06 07:01:36]: epoch: 69, train_loss: 0.596415, train_accuracy: 0.8751
[04/06 07:01:37]: Epoch Test: 69, Current test accuracy: 0.8383, Best test accuracy in 68: 0.8410
[04/06 07:01:45]: epoch: 70, train_loss: 0.580960, train_accuracy: 0.8793
[04/06 07:01:45]: Epoch Test: 70, Current test accuracy: 0.8347, Best test accuracy in 68: 0.8410
[04/06 07:01:54]: epoch: 71, train_loss: 0.579169, train_accuracy: 0.8789
[04/06 07:01:54]: Epoch Test: 71, Current test accuracy: 0.8305, Best test accuracy in 68: 0.8410
[04/06 07:02:02]: epoch: 72, train_loss: 0.569652, train_accuracy: 0.8823
[04/06 07:02:03]: Epoch Test: 72, Current test accuracy: 0.8290, Best test accuracy in 68: 0.8410
[04/06 07:02:11]: epoch: 73, train_loss: 0.567843, train_accuracy: 0.8807
[04/06 07:02:12]: Epoch Test: 73, Current test accuracy: 0.8399, Best test accuracy in 68: 0.8410
[04/06 07:02:20]: epoch: 74, train_loss: 0.568889, train_accuracy: 0.8827
[04/06 07:02:21]: Epoch Test: 74, Current test accuracy: 0.8528, Best test accuracy in 74: 0.8528
[04/06 07:02:29]: epoch: 75, train_loss: 0.568382, train_accuracy: 0.8827
[04/06 07:02:29]: Epoch Test: 75, Current test accuracy: 0.8468, Best test accuracy in 74: 0.8528
[04/06 07:02:38]: epoch: 76, train_loss: 0.558870, train_accuracy: 0.8839
[04/06 07:02:38]: Epoch Test: 76, Current test accuracy: 0.8379, Best test accuracy in 74: 0.8528
[04/06 07:02:47]: epoch: 77, train_loss: 0.571979, train_accuracy: 0.8807
[04/06 07:02:47]: Epoch Test: 77, Current test accuracy: 0.8486, Best test accuracy in 74: 0.8528
[04/06 07:02:56]: epoch: 78, train_loss: 0.551770, train_accuracy: 0.8859
[04/06 07:02:56]: Epoch Test: 78, Current test accuracy: 0.8111, Best test accuracy in 74: 0.8528
[04/06 07:03:04]: epoch: 79, train_loss: 0.546984, train_accuracy: 0.8866
[04/06 07:03:05]: Epoch Test: 79, Current test accuracy: 0.8414, Best test accuracy in 74: 0.8528
[04/06 07:03:13]: epoch: 80, train_loss: 0.544830, train_accuracy: 0.8855
[04/06 07:03:14]: Epoch Test: 80, Current test accuracy: 0.8234, Best test accuracy in 74: 0.8528
[04/06 07:03:22]: epoch: 81, train_loss: 0.549721, train_accuracy: 0.8854
[04/06 07:03:23]: Epoch Test: 81, Current test accuracy: 0.8327, Best test accuracy in 74: 0.8528
[04/06 07:03:31]: epoch: 82, train_loss: 0.544993, train_accuracy: 0.8864
[04/06 07:03:31]: Epoch Test: 82, Current test accuracy: 0.8450, Best test accuracy in 74: 0.8528
[04/06 07:03:40]: epoch: 83, train_loss: 0.537336, train_accuracy: 0.8887
[04/06 07:03:40]: Epoch Test: 83, Current test accuracy: 0.8458, Best test accuracy in 74: 0.8528
[04/06 07:03:48]: epoch: 84, train_loss: 0.545855, train_accuracy: 0.8865
[04/06 07:03:49]: Epoch Test: 84, Current test accuracy: 0.8443, Best test accuracy in 74: 0.8528
[04/06 07:03:57]: epoch: 85, train_loss: 0.530793, train_accuracy: 0.8897
[04/06 07:03:58]: Epoch Test: 85, Current test accuracy: 0.8481, Best test accuracy in 74: 0.8528
[04/06 07:04:06]: epoch: 86, train_loss: 0.539167, train_accuracy: 0.8876
[04/06 07:04:07]: Epoch Test: 86, Current test accuracy: 0.8460, Best test accuracy in 74: 0.8528
[04/06 07:04:15]: epoch: 87, train_loss: 0.529485, train_accuracy: 0.8895
[04/06 07:04:16]: Epoch Test: 87, Current test accuracy: 0.8471, Best test accuracy in 74: 0.8528
[04/06 07:04:24]: epoch: 88, train_loss: 0.527442, train_accuracy: 0.8903
[04/06 07:04:24]: Epoch Test: 88, Current test accuracy: 0.8402, Best test accuracy in 74: 0.8528
[04/06 07:04:33]: epoch: 89, train_loss: 0.525348, train_accuracy: 0.8918
[04/06 07:04:33]: Epoch Test: 89, Current test accuracy: 0.8378, Best test accuracy in 74: 0.8528
[04/06 07:04:41]: epoch: 90, train_loss: 0.527350, train_accuracy: 0.8901
[04/06 07:04:42]: Epoch Test: 90, Current test accuracy: 0.8463, Best test accuracy in 74: 0.8528
[04/06 07:04:50]: epoch: 91, train_loss: 0.518574, train_accuracy: 0.8932
[04/06 07:04:51]: Epoch Test: 91, Current test accuracy: 0.8311, Best test accuracy in 74: 0.8528
[04/06 07:04:59]: epoch: 92, train_loss: 0.521109, train_accuracy: 0.8913
[04/06 07:05:00]: Epoch Test: 92, Current test accuracy: 0.8438, Best test accuracy in 74: 0.8528
[04/06 07:05:08]: epoch: 93, train_loss: 0.518350, train_accuracy: 0.8932
[04/06 07:05:08]: Epoch Test: 93, Current test accuracy: 0.8490, Best test accuracy in 74: 0.8528
[04/06 07:05:17]: epoch: 94, train_loss: 0.517349, train_accuracy: 0.8909
[04/06 07:05:17]: Epoch Test: 94, Current test accuracy: 0.8416, Best test accuracy in 74: 0.8528
[04/06 07:05:25]: epoch: 95, train_loss: 0.507016, train_accuracy: 0.8942
[04/06 07:05:26]: Epoch Test: 95, Current test accuracy: 0.8574, Best test accuracy in 95: 0.8574
[04/06 07:05:34]: epoch: 96, train_loss: 0.507230, train_accuracy: 0.8944
[04/06 07:05:35]: Epoch Test: 96, Current test accuracy: 0.8437, Best test accuracy in 95: 0.8574
[04/06 07:05:43]: epoch: 97, train_loss: 0.503092, train_accuracy: 0.8947
[04/06 07:05:44]: Epoch Test: 97, Current test accuracy: 0.8574, Best test accuracy in 95: 0.8574
[04/06 07:05:52]: epoch: 98, train_loss: 0.495199, train_accuracy: 0.8978
[04/06 07:05:53]: Epoch Test: 98, Current test accuracy: 0.8430, Best test accuracy in 95: 0.8574
[04/06 07:06:01]: epoch: 99, train_loss: 0.499284, train_accuracy: 0.8978
[04/06 07:06:02]: Epoch Test: 99, Current test accuracy: 0.8415, Best test accuracy in 95: 0.8574
[04/06 07:06:10]: epoch: 100, train_loss: 0.505149, train_accuracy: 0.8953
[04/06 07:06:11]: Epoch Test: 100, Current test accuracy: 0.8516, Best test accuracy in 95: 0.8574
[04/06 07:06:19]: epoch: 101, train_loss: 0.487882, train_accuracy: 0.8982
[04/06 07:06:19]: Epoch Test: 101, Current test accuracy: 0.8421, Best test accuracy in 95: 0.8574
