[04/06 15:22:57]: Namespace(base_channels=16, batch_size=128, block_type='basic', depths=38, epochs=400, input_shape=[1, 3, 32, 32], learning_rate=0.1, lr_decay=0.1, milestones='[120, 240]', momentum=0.9, n_classes=10, num_workers=6, result_path='./result/depths_38+CFD+SGD', seed=17, weight_decay=0.0001)
[04/06 15:27:34]: Epoch Test: 32, Current test accuracy: 0.8371, Best test accuracy in 31: 0.8641
[04/06 15:27:42]: epoch: 33, train_loss: 0.255925, train_accuracy: 0.9104
[04/06 15:27:42]: Epoch Test: 33, Current test accuracy: 0.8439, Best test accuracy in 31: 0.8641
[04/06 15:27:50]: epoch: 34, train_loss: 0.254248, train_accuracy: 0.9118
[04/06 15:27:51]: Epoch Test: 34, Current test accuracy: 0.8708, Best test accuracy in 34: 0.8708
[04/06 15:27:59]: epoch: 35, train_loss: 0.243146, train_accuracy: 0.9145
[04/06 15:27:59]: Epoch Test: 35, Current test accuracy: 0.8562, Best test accuracy in 34: 0.8708
[04/06 15:28:07]: epoch: 36, train_loss: 0.247417, train_accuracy: 0.9143
[04/06 15:28:08]: Epoch Test: 36, Current test accuracy: 0.8645, Best test accuracy in 34: 0.8708
[04/06 15:28:16]: epoch: 37, train_loss: 0.243633, train_accuracy: 0.9144
[04/06 15:28:17]: Epoch Test: 37, Current test accuracy: 0.8664, Best test accuracy in 34: 0.8708
[04/06 15:28:24]: epoch: 38, train_loss: 0.238979, train_accuracy: 0.9159
[04/06 15:28:25]: Epoch Test: 38, Current test accuracy: 0.8743, Best test accuracy in 38: 0.8743
[04/06 15:28:33]: epoch: 39, train_loss: 0.236777, train_accuracy: 0.9162
[04/06 15:28:34]: Epoch Test: 39, Current test accuracy: 0.8695, Best test accuracy in 38: 0.8743
[04/06 15:28:42]: epoch: 40, train_loss: 0.235042, train_accuracy: 0.9183
[04/06 15:28:43]: Epoch Test: 40, Current test accuracy: 0.8740, Best test accuracy in 38: 0.8743
[04/06 15:28:51]: epoch: 41, train_loss: 0.234682, train_accuracy: 0.9184
[04/06 15:28:51]: Epoch Test: 41, Current test accuracy: 0.8785, Best test accuracy in 41: 0.8785
[04/06 15:29:00]: epoch: 42, train_loss: 0.229059, train_accuracy: 0.9207
