[04/05 20:14:58]: Namespace(base_channels=16, batch_size=128, block_type='basic', depths=110, epochs=400, input_shape=[1, 3, 32, 32], learning_rate=0.1, lr_decay=0.1, milestones='[120, 240]', momentum=0.9, n_classes=10, num_workers=6, result_path='./result/04052000', seed=17, weight_decay=0.0001)
[04/05 20:28:05]: Epoch Test: 32, Current test accuracy: 0.8354, Best test accuracy in 30: 0.8419
[04/05 20:28:28]: epoch: 33, train_loss: 0.607054, train_accuracy: 0.8755
[04/05 20:28:29]: Epoch Test: 33, Current test accuracy: 0.8286, Best test accuracy in 30: 0.8419
[04/05 20:28:52]: epoch: 34, train_loss: 0.595691, train_accuracy: 0.8778
[04/05 20:28:54]: Epoch Test: 34, Current test accuracy: 0.8076, Best test accuracy in 30: 0.8419
[04/05 20:29:17]: epoch: 35, train_loss: 0.583692, train_accuracy: 0.8797
[04/05 20:29:18]: Epoch Test: 35, Current test accuracy: 0.8338, Best test accuracy in 30: 0.8419
[04/05 20:29:41]: epoch: 36, train_loss: 0.560379, train_accuracy: 0.8842
[04/05 20:29:42]: Epoch Test: 36, Current test accuracy: 0.8378, Best test accuracy in 30: 0.8419
[04/05 20:30:06]: epoch: 37, train_loss: 0.560722, train_accuracy: 0.8865
[04/05 20:30:07]: Epoch Test: 37, Current test accuracy: 0.8418, Best test accuracy in 30: 0.8419
[04/05 20:30:30]: epoch: 38, train_loss: 0.543215, train_accuracy: 0.8878
[04/05 20:30:31]: Epoch Test: 38, Current test accuracy: 0.8611, Best test accuracy in 38: 0.8611
[04/05 20:30:55]: epoch: 39, train_loss: 0.535852, train_accuracy: 0.8906
[04/05 20:30:56]: Epoch Test: 39, Current test accuracy: 0.8505, Best test accuracy in 38: 0.8611
[04/05 20:31:19]: epoch: 40, train_loss: 0.517988, train_accuracy: 0.8944
[04/05 20:31:20]: Epoch Test: 40, Current test accuracy: 0.8427, Best test accuracy in 38: 0.8611
[04/05 20:31:44]: epoch: 41, train_loss: 0.513649, train_accuracy: 0.8948
[04/05 20:31:46]: Epoch Test: 41, Current test accuracy: 0.8632, Best test accuracy in 41: 0.8632
[04/05 20:32:10]: epoch: 42, train_loss: 0.506592, train_accuracy: 0.8974
[04/05 20:32:11]: Epoch Test: 42, Current test accuracy: 0.8358, Best test accuracy in 41: 0.8632
[04/05 20:32:35]: epoch: 43, train_loss: 0.497157, train_accuracy: 0.8978
[04/05 20:32:36]: Epoch Test: 43, Current test accuracy: 0.8478, Best test accuracy in 41: 0.8632
[04/05 20:32:59]: epoch: 44, train_loss: 0.482982, train_accuracy: 0.9020
[04/05 20:33:00]: Epoch Test: 44, Current test accuracy: 0.8273, Best test accuracy in 41: 0.8632
[04/05 20:33:24]: epoch: 45, train_loss: 0.477417, train_accuracy: 0.9030
[04/05 20:33:25]: Epoch Test: 45, Current test accuracy: 0.8527, Best test accuracy in 41: 0.8632
[04/05 20:33:48]: epoch: 46, train_loss: 0.454740, train_accuracy: 0.9077
[04/05 20:33:49]: Epoch Test: 46, Current test accuracy: 0.8578, Best test accuracy in 41: 0.8632
[04/05 20:34:12]: epoch: 47, train_loss: 0.456565, train_accuracy: 0.9080
[04/05 20:34:14]: Epoch Test: 47, Current test accuracy: 0.8448, Best test accuracy in 41: 0.8632
[04/05 20:34:37]: epoch: 48, train_loss: 0.455620, train_accuracy: 0.9081
[04/05 20:34:38]: Epoch Test: 48, Current test accuracy: 0.8737, Best test accuracy in 48: 0.8737
[04/05 20:35:01]: epoch: 49, train_loss: 0.442167, train_accuracy: 0.9096
[04/05 20:35:03]: Epoch Test: 49, Current test accuracy: 0.8504, Best test accuracy in 48: 0.8737
[04/05 20:35:27]: epoch: 50, train_loss: 0.424698, train_accuracy: 0.9134
[04/05 20:35:28]: Epoch Test: 50, Current test accuracy: 0.8525, Best test accuracy in 48: 0.8737
[04/05 20:35:51]: epoch: 51, train_loss: 0.419649, train_accuracy: 0.9149
[04/05 20:35:53]: Epoch Test: 51, Current test accuracy: 0.8615, Best test accuracy in 48: 0.8737
[04/05 20:36:16]: epoch: 52, train_loss: 0.413968, train_accuracy: 0.9154
[04/05 20:36:17]: Epoch Test: 52, Current test accuracy: 0.8683, Best test accuracy in 48: 0.8737
[04/05 20:36:40]: epoch: 53, train_loss: 0.413059, train_accuracy: 0.9160
[04/05 20:36:42]: Epoch Test: 53, Current test accuracy: 0.8642, Best test accuracy in 48: 0.8737
[04/05 20:37:05]: epoch: 54, train_loss: 0.413528, train_accuracy: 0.9155
[04/05 20:37:06]: Epoch Test: 54, Current test accuracy: 0.8683, Best test accuracy in 48: 0.8737
[04/05 20:37:29]: epoch: 55, train_loss: 0.398982, train_accuracy: 0.9192
[04/05 20:37:31]: Epoch Test: 55, Current test accuracy: 0.8615, Best test accuracy in 48: 0.8737
[04/05 20:37:54]: epoch: 56, train_loss: 0.396595, train_accuracy: 0.9198
[04/05 20:37:55]: Epoch Test: 56, Current test accuracy: 0.8743, Best test accuracy in 56: 0.8743
[04/05 20:38:18]: epoch: 57, train_loss: 0.385539, train_accuracy: 0.9211
[04/05 20:38:20]: Epoch Test: 57, Current test accuracy: 0.8715, Best test accuracy in 56: 0.8743
[04/05 20:38:43]: epoch: 58, train_loss: 0.384265, train_accuracy: 0.9219
[04/05 20:38:44]: Epoch Test: 58, Current test accuracy: 0.8596, Best test accuracy in 56: 0.8743
[04/05 20:39:08]: epoch: 59, train_loss: 0.375869, train_accuracy: 0.9230
[04/05 20:39:10]: Epoch Test: 59, Current test accuracy: 0.8819, Best test accuracy in 59: 0.8819
[04/05 20:39:33]: epoch: 60, train_loss: 0.368475, train_accuracy: 0.9244
[04/05 20:39:34]: Epoch Test: 60, Current test accuracy: 0.8626, Best test accuracy in 59: 0.8819
[04/05 20:39:58]: epoch: 61, train_loss: 0.359916, train_accuracy: 0.9267
[04/05 20:39:59]: Epoch Test: 61, Current test accuracy: 0.8451, Best test accuracy in 59: 0.8819
[04/05 20:40:22]: epoch: 62, train_loss: 0.358567, train_accuracy: 0.9269
[04/05 20:40:23]: Epoch Test: 62, Current test accuracy: 0.8609, Best test accuracy in 59: 0.8819
[04/05 20:40:48]: epoch: 63, train_loss: 0.346803, train_accuracy: 0.9291
[04/05 20:40:49]: Epoch Test: 63, Current test accuracy: 0.8552, Best test accuracy in 59: 0.8819
[04/05 20:41:12]: epoch: 64, train_loss: 0.357421, train_accuracy: 0.9261
[04/05 20:41:13]: Epoch Test: 64, Current test accuracy: 0.8560, Best test accuracy in 59: 0.8819
[04/05 20:41:37]: epoch: 65, train_loss: 0.342254, train_accuracy: 0.9299
