[04/06 15:48:03]: Namespace(base_channels=16, batch_size=128, block_type='basic', depths=110, epochs=400, input_shape=[1, 3, 32, 32], learning_rate=0.1, lr_decay=0.1, milestones='[120, 240]', momentum=0.9, n_classes=10, num_workers=6, result_path='./result/depths_110+CFD+SGD', seed=17, weight_decay=0.0001)
[04/06 15:48:36]: epoch: 1, train_loss: 2.396794, train_accuracy: 0.1001
[04/06 15:48:39]: Epoch Test: 1, Current test accuracy: 0.1005, Best test accuracy in 1: 0.1005
[04/06 15:49:05]: epoch: 2, train_loss: 2.302022, train_accuracy: 0.1039
[04/06 15:49:08]: Epoch Test: 2, Current test accuracy: 0.1116, Best test accuracy in 2: 0.1116
[04/06 15:49:35]: epoch: 3, train_loss: 2.283093, train_accuracy: 0.1218
[04/06 15:49:37]: Epoch Test: 3, Current test accuracy: 0.1091, Best test accuracy in 2: 0.1116
[04/06 15:50:03]: epoch: 4, train_loss: 1.940742, train_accuracy: 0.2556
[04/06 15:50:06]: Epoch Test: 4, Current test accuracy: 0.3339, Best test accuracy in 4: 0.3339
[04/06 15:50:33]: epoch: 5, train_loss: 1.705395, train_accuracy: 0.3534
[04/06 15:50:36]: Epoch Test: 5, Current test accuracy: 0.4110, Best test accuracy in 5: 0.4110
[04/06 15:51:03]: epoch: 6, train_loss: 1.518298, train_accuracy: 0.4359
[04/06 15:51:05]: Epoch Test: 6, Current test accuracy: 0.5121, Best test accuracy in 6: 0.5121
[04/06 15:51:32]: epoch: 7, train_loss: 1.241625, train_accuracy: 0.5512
[04/06 15:51:35]: Epoch Test: 7, Current test accuracy: 0.5744, Best test accuracy in 7: 0.5744
[04/06 15:52:02]: epoch: 8, train_loss: 1.006644, train_accuracy: 0.6421
[04/06 15:52:04]: Epoch Test: 8, Current test accuracy: 0.6440, Best test accuracy in 8: 0.6440
[04/06 15:52:30]: epoch: 9, train_loss: 0.832726, train_accuracy: 0.7062
[04/06 15:52:32]: Epoch Test: 9, Current test accuracy: 0.7105, Best test accuracy in 9: 0.7105
[04/06 15:52:59]: epoch: 10, train_loss: 0.714327, train_accuracy: 0.7507
[04/06 15:53:01]: Epoch Test: 10, Current test accuracy: 0.7475, Best test accuracy in 10: 0.7475
[04/06 15:53:28]: epoch: 11, train_loss: 0.633801, train_accuracy: 0.7816
[04/06 15:53:30]: Epoch Test: 11, Current test accuracy: 0.7730, Best test accuracy in 11: 0.7730
[04/06 15:53:58]: epoch: 12, train_loss: 0.577464, train_accuracy: 0.8000
[04/06 15:54:01]: Epoch Test: 12, Current test accuracy: 0.7831, Best test accuracy in 12: 0.7831
[04/06 15:54:29]: epoch: 13, train_loss: 0.535209, train_accuracy: 0.8152
[04/06 15:54:32]: Epoch Test: 13, Current test accuracy: 0.7725, Best test accuracy in 12: 0.7831
[04/06 15:54:59]: epoch: 14, train_loss: 0.501786, train_accuracy: 0.8275
[04/06 15:55:01]: Epoch Test: 14, Current test accuracy: 0.7713, Best test accuracy in 12: 0.7831
[04/06 15:55:28]: epoch: 15, train_loss: 0.469183, train_accuracy: 0.8380
[04/06 15:55:31]: Epoch Test: 15, Current test accuracy: 0.8091, Best test accuracy in 15: 0.8091
[04/06 15:55:58]: epoch: 16, train_loss: 0.439510, train_accuracy: 0.8476
[04/06 15:56:01]: Epoch Test: 16, Current test accuracy: 0.8309, Best test accuracy in 16: 0.8309
[04/06 15:56:28]: epoch: 17, train_loss: 0.416776, train_accuracy: 0.8564
[04/06 15:56:30]: Epoch Test: 17, Current test accuracy: 0.8324, Best test accuracy in 17: 0.8324
[04/06 15:56:56]: epoch: 18, train_loss: 0.399561, train_accuracy: 0.8630
[04/06 15:56:59]: Epoch Test: 18, Current test accuracy: 0.8331, Best test accuracy in 18: 0.8331
[04/06 15:57:25]: epoch: 19, train_loss: 0.383638, train_accuracy: 0.8674
[04/06 15:57:28]: Epoch Test: 19, Current test accuracy: 0.8349, Best test accuracy in 19: 0.8349
[04/06 15:57:54]: epoch: 20, train_loss: 0.366068, train_accuracy: 0.8746
[04/06 15:57:56]: Epoch Test: 20, Current test accuracy: 0.8427, Best test accuracy in 20: 0.8427
[04/06 15:58:22]: epoch: 21, train_loss: 0.354898, train_accuracy: 0.8773
[04/06 15:58:25]: Epoch Test: 21, Current test accuracy: 0.8383, Best test accuracy in 20: 0.8427
[04/06 15:58:52]: epoch: 22, train_loss: 0.337875, train_accuracy: 0.8833
[04/06 15:58:54]: Epoch Test: 22, Current test accuracy: 0.8613, Best test accuracy in 22: 0.8613
[04/06 15:59:21]: epoch: 23, train_loss: 0.331707, train_accuracy: 0.8849
[04/06 15:59:23]: Epoch Test: 23, Current test accuracy: 0.8421, Best test accuracy in 22: 0.8613
[04/06 15:59:50]: epoch: 24, train_loss: 0.318646, train_accuracy: 0.8885
[04/06 15:59:52]: Epoch Test: 24, Current test accuracy: 0.8513, Best test accuracy in 22: 0.8613
[04/06 16:00:18]: epoch: 25, train_loss: 0.308718, train_accuracy: 0.8932
[04/06 16:00:20]: Epoch Test: 25, Current test accuracy: 0.8485, Best test accuracy in 22: 0.8613
[04/06 16:00:47]: epoch: 26, train_loss: 0.298583, train_accuracy: 0.8973
[04/06 16:00:49]: Epoch Test: 26, Current test accuracy: 0.8551, Best test accuracy in 22: 0.8613
[04/06 16:01:16]: epoch: 27, train_loss: 0.292020, train_accuracy: 0.8981
[04/06 16:01:18]: Epoch Test: 27, Current test accuracy: 0.8560, Best test accuracy in 22: 0.8613
[04/06 16:01:45]: epoch: 28, train_loss: 0.283820, train_accuracy: 0.9014
[04/06 16:01:47]: Epoch Test: 28, Current test accuracy: 0.8362, Best test accuracy in 22: 0.8613
[04/06 16:02:14]: epoch: 29, train_loss: 0.278412, train_accuracy: 0.9034
[04/06 16:02:16]: Epoch Test: 29, Current test accuracy: 0.8398, Best test accuracy in 22: 0.8613
[04/06 16:02:42]: epoch: 30, train_loss: 0.267820, train_accuracy: 0.9060
[04/06 16:02:45]: Epoch Test: 30, Current test accuracy: 0.8542, Best test accuracy in 22: 0.8613
[04/06 16:03:11]: epoch: 31, train_loss: 0.261083, train_accuracy: 0.9085
[04/06 16:03:14]: Epoch Test: 31, Current test accuracy: 0.8579, Best test accuracy in 22: 0.8613
[04/06 16:03:40]: epoch: 32, train_loss: 0.257288, train_accuracy: 0.9118
[04/06 16:03:42]: Epoch Test: 32, Current test accuracy: 0.8583, Best test accuracy in 22: 0.8613
[04/06 16:04:09]: epoch: 33, train_loss: 0.249733, train_accuracy: 0.9128
[04/06 16:04:11]: Epoch Test: 33, Current test accuracy: 0.8654, Best test accuracy in 33: 0.8654
[04/06 16:04:38]: epoch: 34, train_loss: 0.243715, train_accuracy: 0.9141
[04/06 16:04:40]: Epoch Test: 34, Current test accuracy: 0.8432, Best test accuracy in 33: 0.8654
[04/06 16:05:07]: epoch: 35, train_loss: 0.245682, train_accuracy: 0.9149
[04/06 16:05:10]: Epoch Test: 35, Current test accuracy: 0.8625, Best test accuracy in 33: 0.8654
[04/06 16:05:37]: epoch: 36, train_loss: 0.233649, train_accuracy: 0.9189
[04/06 16:05:39]: Epoch Test: 36, Current test accuracy: 0.8608, Best test accuracy in 33: 0.8654
[04/06 16:06:05]: epoch: 37, train_loss: 0.236084, train_accuracy: 0.9177
[04/06 16:06:07]: Epoch Test: 37, Current test accuracy: 0.8694, Best test accuracy in 37: 0.8694
[04/06 16:06:34]: epoch: 38, train_loss: 0.226209, train_accuracy: 0.9226
[04/06 16:06:36]: Epoch Test: 38, Current test accuracy: 0.8728, Best test accuracy in 38: 0.8728
[04/06 16:07:02]: epoch: 39, train_loss: 0.228654, train_accuracy: 0.9205
[04/06 16:07:05]: Epoch Test: 39, Current test accuracy: 0.8716, Best test accuracy in 38: 0.8728
[04/06 16:07:31]: epoch: 40, train_loss: 0.217032, train_accuracy: 0.9246
[04/06 16:07:34]: Epoch Test: 40, Current test accuracy: 0.8514, Best test accuracy in 38: 0.8728
[04/06 16:08:01]: epoch: 41, train_loss: 0.215580, train_accuracy: 0.9248
[04/06 16:08:03]: Epoch Test: 41, Current test accuracy: 0.8794, Best test accuracy in 41: 0.8794
[04/06 16:08:30]: epoch: 42, train_loss: 0.211151, train_accuracy: 0.9261
[04/06 16:08:32]: Epoch Test: 42, Current test accuracy: 0.8758, Best test accuracy in 41: 0.8794
[04/06 16:09:00]: epoch: 43, train_loss: 0.214414, train_accuracy: 0.9260
[04/06 16:09:02]: Epoch Test: 43, Current test accuracy: 0.8551, Best test accuracy in 41: 0.8794
[04/06 16:09:29]: epoch: 44, train_loss: 0.208939, train_accuracy: 0.9277
[04/06 16:09:31]: Epoch Test: 44, Current test accuracy: 0.8403, Best test accuracy in 41: 0.8794
[04/06 16:09:58]: epoch: 45, train_loss: 0.204669, train_accuracy: 0.9287
[04/06 16:10:00]: Epoch Test: 45, Current test accuracy: 0.8792, Best test accuracy in 41: 0.8794
[04/06 16:10:27]: epoch: 46, train_loss: 0.202365, train_accuracy: 0.9294
[04/06 16:10:29]: Epoch Test: 46, Current test accuracy: 0.8783, Best test accuracy in 41: 0.8794
[04/06 16:10:56]: epoch: 47, train_loss: 0.203780, train_accuracy: 0.9292
[04/06 16:10:58]: Epoch Test: 47, Current test accuracy: 0.8642, Best test accuracy in 41: 0.8794
[04/06 16:11:25]: epoch: 48, train_loss: 0.196475, train_accuracy: 0.9315
