[04/06 00:10:14]: Namespace(base_channels=16, batch_size=128, block_type='basic', depths=56, epochs=400, input_shape=[1, 3, 32, 32], learning_rate=0.1, lr_decay=0.1, milestones='[120, 240]', momentum=0.9, n_classes=10, num_workers=6, result_path='./result/depths_56+CF+Adam', seed=17, weight_decay=0.0001)
[04/06 00:16:46]: Epoch Test: 32, Current test accuracy: 0.8283, Best test accuracy in 31: 0.8284
[04/06 00:16:58]: epoch: 33, train_loss: 0.486095, train_accuracy: 0.8569
[04/06 00:16:58]: Epoch Test: 33, Current test accuracy: 0.8294, Best test accuracy in 33: 0.8294
[04/06 00:17:10]: epoch: 34, train_loss: 0.464872, train_accuracy: 0.8611
[04/06 00:17:11]: Epoch Test: 34, Current test accuracy: 0.8058, Best test accuracy in 33: 0.8294
[04/06 00:17:22]: epoch: 35, train_loss: 0.459895, train_accuracy: 0.8661
[04/06 00:17:23]: Epoch Test: 35, Current test accuracy: 0.8168, Best test accuracy in 33: 0.8294
[04/06 00:17:34]: epoch: 36, train_loss: 0.455694, train_accuracy: 0.8645
[04/06 00:17:35]: Epoch Test: 36, Current test accuracy: 0.8074, Best test accuracy in 33: 0.8294
[04/06 00:17:46]: epoch: 37, train_loss: 0.448128, train_accuracy: 0.8656
[04/06 00:17:47]: Epoch Test: 37, Current test accuracy: 0.8435, Best test accuracy in 37: 0.8435
[04/06 00:17:59]: epoch: 38, train_loss: 0.440725, train_accuracy: 0.8702
[04/06 00:17:59]: Epoch Test: 38, Current test accuracy: 0.8212, Best test accuracy in 37: 0.8435
[04/06 00:18:11]: epoch: 39, train_loss: 0.427090, train_accuracy: 0.8737
[04/06 00:18:12]: Epoch Test: 39, Current test accuracy: 0.8388, Best test accuracy in 37: 0.8435
[04/06 00:18:23]: epoch: 40, train_loss: 0.422185, train_accuracy: 0.8756
[04/06 00:18:24]: Epoch Test: 40, Current test accuracy: 0.8422, Best test accuracy in 37: 0.8435
[04/06 00:18:35]: epoch: 41, train_loss: 0.416136, train_accuracy: 0.8757
[04/06 00:18:36]: Epoch Test: 41, Current test accuracy: 0.8491, Best test accuracy in 41: 0.8491
[04/06 00:18:47]: epoch: 42, train_loss: 0.407707, train_accuracy: 0.8799
[04/06 00:18:48]: Epoch Test: 42, Current test accuracy: 0.8448, Best test accuracy in 41: 0.8491
[04/06 00:19:00]: epoch: 43, train_loss: 0.398852, train_accuracy: 0.8822
[04/06 00:19:00]: Epoch Test: 43, Current test accuracy: 0.8234, Best test accuracy in 41: 0.8491
[04/06 00:19:12]: epoch: 44, train_loss: 0.397354, train_accuracy: 0.8821
[04/06 00:19:13]: Epoch Test: 44, Current test accuracy: 0.8396, Best test accuracy in 41: 0.8491
[04/06 00:19:24]: epoch: 45, train_loss: 0.390314, train_accuracy: 0.8849
[04/06 00:19:25]: Epoch Test: 45, Current test accuracy: 0.8561, Best test accuracy in 45: 0.8561
[04/06 00:19:36]: epoch: 46, train_loss: 0.380644, train_accuracy: 0.8869
[04/06 00:19:37]: Epoch Test: 46, Current test accuracy: 0.8398, Best test accuracy in 45: 0.8561
[04/06 00:19:48]: epoch: 47, train_loss: 0.387131, train_accuracy: 0.8853
[04/06 00:19:49]: Epoch Test: 47, Current test accuracy: 0.8482, Best test accuracy in 45: 0.8561
[04/06 00:20:01]: epoch: 48, train_loss: 0.372231, train_accuracy: 0.8899
[04/06 00:20:01]: Epoch Test: 48, Current test accuracy: 0.8568, Best test accuracy in 48: 0.8568
[04/06 00:20:13]: epoch: 49, train_loss: 0.371091, train_accuracy: 0.8901
[04/06 00:20:14]: Epoch Test: 49, Current test accuracy: 0.8567, Best test accuracy in 48: 0.8568
[04/06 00:20:25]: epoch: 50, train_loss: 0.357065, train_accuracy: 0.8922
[04/06 00:20:26]: Epoch Test: 50, Current test accuracy: 0.8564, Best test accuracy in 48: 0.8568
[04/06 00:20:37]: epoch: 51, train_loss: 0.363021, train_accuracy: 0.8920
[04/06 00:20:38]: Epoch Test: 51, Current test accuracy: 0.8515, Best test accuracy in 48: 0.8568
[04/06 00:20:49]: epoch: 52, train_loss: 0.353616, train_accuracy: 0.8948
[04/06 00:20:50]: Epoch Test: 52, Current test accuracy: 0.8509, Best test accuracy in 48: 0.8568
[04/06 00:21:01]: epoch: 53, train_loss: 0.346090, train_accuracy: 0.8980
[04/06 00:21:02]: Epoch Test: 53, Current test accuracy: 0.8341, Best test accuracy in 48: 0.8568
[04/06 00:21:14]: epoch: 54, train_loss: 0.335430, train_accuracy: 0.9017
[04/06 00:21:14]: Epoch Test: 54, Current test accuracy: 0.8397, Best test accuracy in 48: 0.8568
[04/06 00:21:26]: epoch: 55, train_loss: 0.344940, train_accuracy: 0.8982
[04/06 00:21:27]: Epoch Test: 55, Current test accuracy: 0.8559, Best test accuracy in 48: 0.8568
[04/06 00:21:38]: epoch: 56, train_loss: 0.328248, train_accuracy: 0.9024
[04/06 00:21:39]: Epoch Test: 56, Current test accuracy: 0.8527, Best test accuracy in 48: 0.8568
[04/06 00:21:50]: epoch: 57, train_loss: 0.332135, train_accuracy: 0.9006
[04/06 00:21:51]: Epoch Test: 57, Current test accuracy: 0.8557, Best test accuracy in 48: 0.8568
[04/06 00:22:03]: epoch: 58, train_loss: 0.321026, train_accuracy: 0.9047
[04/06 00:22:03]: Epoch Test: 58, Current test accuracy: 0.8602, Best test accuracy in 58: 0.8602
[04/06 00:22:15]: epoch: 59, train_loss: 0.318792, train_accuracy: 0.9041
[04/06 00:22:16]: Epoch Test: 59, Current test accuracy: 0.8484, Best test accuracy in 58: 0.8602
[04/06 00:22:27]: epoch: 60, train_loss: 0.316818, train_accuracy: 0.9047
[04/06 00:22:28]: Epoch Test: 60, Current test accuracy: 0.8476, Best test accuracy in 58: 0.8602
[04/06 00:22:39]: epoch: 61, train_loss: 0.315212, train_accuracy: 0.9068
[04/06 00:22:40]: Epoch Test: 61, Current test accuracy: 0.8536, Best test accuracy in 58: 0.8602
[04/06 00:22:51]: epoch: 62, train_loss: 0.308070, train_accuracy: 0.9091
[04/06 00:22:52]: Epoch Test: 62, Current test accuracy: 0.8571, Best test accuracy in 58: 0.8602
[04/06 00:23:03]: epoch: 63, train_loss: 0.312144, train_accuracy: 0.9068
[04/06 00:23:04]: Epoch Test: 63, Current test accuracy: 0.8650, Best test accuracy in 63: 0.8650
[04/06 00:23:16]: epoch: 64, train_loss: 0.305197, train_accuracy: 0.9094
[04/06 00:23:16]: Epoch Test: 64, Current test accuracy: 0.8467, Best test accuracy in 63: 0.8650
[04/06 00:23:28]: epoch: 65, train_loss: 0.302540, train_accuracy: 0.9094
[04/06 00:23:29]: Epoch Test: 65, Current test accuracy: 0.8650, Best test accuracy in 63: 0.8650
[04/06 00:23:40]: epoch: 66, train_loss: 0.294808, train_accuracy: 0.9118
[04/06 00:23:41]: Epoch Test: 66, Current test accuracy: 0.8653, Best test accuracy in 66: 0.8653
[04/06 00:23:52]: epoch: 67, train_loss: 0.290468, train_accuracy: 0.9126
[04/06 00:23:53]: Epoch Test: 67, Current test accuracy: 0.8599, Best test accuracy in 66: 0.8653
[04/06 00:24:04]: epoch: 68, train_loss: 0.284831, train_accuracy: 0.9144
[04/06 00:24:05]: Epoch Test: 68, Current test accuracy: 0.8651, Best test accuracy in 66: 0.8653
[04/06 00:24:17]: epoch: 69, train_loss: 0.284077, train_accuracy: 0.9152
[04/06 00:24:17]: Epoch Test: 69, Current test accuracy: 0.8682, Best test accuracy in 69: 0.8682
[04/06 00:24:29]: epoch: 70, train_loss: 0.285585, train_accuracy: 0.9160
[04/06 00:24:29]: Epoch Test: 70, Current test accuracy: 0.8706, Best test accuracy in 70: 0.8706
[04/06 00:24:41]: epoch: 71, train_loss: 0.283676, train_accuracy: 0.9156
[04/06 00:24:42]: Epoch Test: 71, Current test accuracy: 0.8670, Best test accuracy in 70: 0.8706
[04/06 00:24:53]: epoch: 72, train_loss: 0.271072, train_accuracy: 0.9191
[04/06 00:24:54]: Epoch Test: 72, Current test accuracy: 0.8595, Best test accuracy in 70: 0.8706
[04/06 00:25:05]: epoch: 73, train_loss: 0.276146, train_accuracy: 0.9167
[04/06 00:25:06]: Epoch Test: 73, Current test accuracy: 0.8685, Best test accuracy in 70: 0.8706
[04/06 00:25:18]: epoch: 74, train_loss: 0.273272, train_accuracy: 0.9182
[04/06 00:25:18]: Epoch Test: 74, Current test accuracy: 0.8667, Best test accuracy in 70: 0.8706
[04/06 00:25:30]: epoch: 75, train_loss: 0.264611, train_accuracy: 0.9209
[04/06 00:25:31]: Epoch Test: 75, Current test accuracy: 0.8568, Best test accuracy in 70: 0.8706
[04/06 00:25:42]: epoch: 76, train_loss: 0.272835, train_accuracy: 0.9196
[04/06 00:25:43]: Epoch Test: 76, Current test accuracy: 0.8643, Best test accuracy in 70: 0.8706
[04/06 00:25:54]: epoch: 77, train_loss: 0.265655, train_accuracy: 0.9196
[04/06 00:25:55]: Epoch Test: 77, Current test accuracy: 0.8685, Best test accuracy in 70: 0.8706
[04/06 00:26:06]: epoch: 78, train_loss: 0.261311, train_accuracy: 0.9216
