[04/06 08:37:27]: Namespace(base_channels=16, batch_size=128, block_type='basic', depths=56, epochs=400, input_shape=[1, 3, 32, 32], learning_rate=0.1, lr_decay=0.1, milestones='[120, 240]', momentum=0.9, n_classes=10, num_workers=6, result_path='./result/depths_56+C+Adam', seed=17, weight_decay=0.0001)
[04/06 08:44:00]: Epoch Test: 32, Current test accuracy: 0.7729, Best test accuracy in 30: 0.7963
[04/06 08:44:11]: epoch: 33, train_loss: 0.519215, train_accuracy: 0.8236
[04/06 08:44:12]: Epoch Test: 33, Current test accuracy: 0.8067, Best test accuracy in 33: 0.8067
[04/06 08:44:23]: epoch: 34, train_loss: 0.503740, train_accuracy: 0.8291
[04/06 08:44:24]: Epoch Test: 34, Current test accuracy: 0.7999, Best test accuracy in 33: 0.8067
[04/06 08:44:36]: epoch: 35, train_loss: 0.502670, train_accuracy: 0.8287
[04/06 08:44:36]: Epoch Test: 35, Current test accuracy: 0.8137, Best test accuracy in 35: 0.8137
[04/06 08:44:48]: epoch: 36, train_loss: 0.492589, train_accuracy: 0.8325
[04/06 08:44:49]: Epoch Test: 36, Current test accuracy: 0.7785, Best test accuracy in 35: 0.8137
[04/06 08:45:00]: epoch: 37, train_loss: 0.475941, train_accuracy: 0.8399
[04/06 08:45:01]: Epoch Test: 37, Current test accuracy: 0.8086, Best test accuracy in 35: 0.8137
[04/06 08:45:12]: epoch: 38, train_loss: 0.468861, train_accuracy: 0.8400
[04/06 08:45:13]: Epoch Test: 38, Current test accuracy: 0.8126, Best test accuracy in 35: 0.8137
[04/06 08:45:25]: epoch: 39, train_loss: 0.469446, train_accuracy: 0.8415
[04/06 08:45:25]: Epoch Test: 39, Current test accuracy: 0.8157, Best test accuracy in 39: 0.8157
[04/06 08:45:37]: epoch: 40, train_loss: 0.456568, train_accuracy: 0.8438
[04/06 08:45:38]: Epoch Test: 40, Current test accuracy: 0.7994, Best test accuracy in 39: 0.8157
[04/06 08:45:49]: epoch: 41, train_loss: 0.456338, train_accuracy: 0.8466
[04/06 08:45:50]: Epoch Test: 41, Current test accuracy: 0.8117, Best test accuracy in 39: 0.8157
[04/06 08:46:01]: epoch: 42, train_loss: 0.453005, train_accuracy: 0.8465
[04/06 08:46:02]: Epoch Test: 42, Current test accuracy: 0.8145, Best test accuracy in 39: 0.8157
[04/06 08:46:13]: epoch: 43, train_loss: 0.434368, train_accuracy: 0.8539
[04/06 08:46:14]: Epoch Test: 43, Current test accuracy: 0.8147, Best test accuracy in 39: 0.8157
[04/06 08:46:25]: epoch: 44, train_loss: 0.434255, train_accuracy: 0.8528
[04/06 08:46:26]: Epoch Test: 44, Current test accuracy: 0.8161, Best test accuracy in 44: 0.8161
