[04/06 11:55:45]: Namespace(base_channels=16, batch_size=128, block_type='basic', depths=56, epochs=400, input_shape=[1, 3, 32, 32], learning_rate=0.1, lr_decay=0.1, milestones='[120, 240]', momentum=0.9, n_classes=10, num_workers=6, result_path='./result/depths_56+CFD+SGD', seed=17, weight_decay=0.0001)
[04/06 11:55:58]: epoch: 1, train_loss: 1.904666, train_accuracy: 0.2940
[04/06 11:55:59]: Epoch Test: 1, Current test accuracy: 0.4149, Best test accuracy in 1: 0.4149
[04/06 11:56:10]: epoch: 2, train_loss: 1.352089, train_accuracy: 0.5049
[04/06 11:56:10]: Epoch Test: 2, Current test accuracy: 0.4968, Best test accuracy in 2: 0.4968
[04/06 11:56:21]: epoch: 3, train_loss: 1.028828, train_accuracy: 0.6315
[04/06 11:56:22]: Epoch Test: 3, Current test accuracy: 0.6119, Best test accuracy in 3: 0.6119
[04/06 11:56:33]: epoch: 4, train_loss: 0.835312, train_accuracy: 0.7066
[04/06 11:56:34]: Epoch Test: 4, Current test accuracy: 0.6937, Best test accuracy in 4: 0.6937
[04/06 11:56:44]: epoch: 5, train_loss: 0.722936, train_accuracy: 0.7462
[04/06 11:56:45]: Epoch Test: 5, Current test accuracy: 0.7213, Best test accuracy in 5: 0.7213
[04/06 11:56:56]: epoch: 6, train_loss: 0.652593, train_accuracy: 0.7738
[04/06 11:56:57]: Epoch Test: 6, Current test accuracy: 0.7581, Best test accuracy in 6: 0.7581
[04/06 11:57:08]: epoch: 7, train_loss: 0.603467, train_accuracy: 0.7911
[04/06 11:57:09]: Epoch Test: 7, Current test accuracy: 0.7516, Best test accuracy in 6: 0.7581
[04/06 11:57:20]: epoch: 8, train_loss: 0.548648, train_accuracy: 0.8112
[04/06 11:57:21]: Epoch Test: 8, Current test accuracy: 0.7915, Best test accuracy in 8: 0.7915
[04/06 11:57:31]: epoch: 9, train_loss: 0.515873, train_accuracy: 0.8220
[04/06 11:57:32]: Epoch Test: 9, Current test accuracy: 0.8145, Best test accuracy in 9: 0.8145
[04/06 11:57:43]: epoch: 10, train_loss: 0.487459, train_accuracy: 0.8316
[04/06 11:57:44]: Epoch Test: 10, Current test accuracy: 0.7646, Best test accuracy in 9: 0.8145
[04/06 11:57:55]: epoch: 11, train_loss: 0.463454, train_accuracy: 0.8408
